Crop Type,Soil Type,Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Water Requirement (L/sq.m)
Wheat,Clay,35.86,25.82,51.25,126.88,0.0
Maize,Silt,20.94,71.18,47.54,191.07,0.0
Rice,Peat,44.93,71.57,52.76,172.11,0.0
Soybean,Peat,33.13,62.73,69.38,223.4,0.0
Cotton,Sandy,38.75,76.23,94.06,222.9,0.0
Barley,Peat,27.19,51.74,98.29,116.13,0.0
Sugarcane,Sandy,35.55,38.72,84.65,245.15,0.0
Sugarcane,Sandy,11.27,65.49,38.53,224.64,0.0
Barley,Clay,32.68,72.33,50.11,97.91,0.0
Rice,Silt,42.23,56.36,71.21,24.73,4.4
Maize,Sandy,32.83,24.97,53.24,236.94,0.0
Sugarcane,Peat,31.43,27.56,79.2,81.13,0.0
Barley,Peat,31.34,40.88,94.22,203.26,0.0
Tomato,Clay,36.46,85.3,83.74,227.15,0.0
Rice,Silt,17.32,87.68,24.02,77.91,0.0
Barley,Peat,40.01,73.94,75.19,44.34,0.0
Soybean,Clay,30.05,27.77,13.35,148.36,0.0
Soybean,Loamy,42.18,61.16,56.3,230.61,0.0
Cotton,Sandy,38.72,54.89,48.34,124.11,0.0
Wheat,Clay,17.98,83.99,41.24,134.74,0.0
Tomato,Peat,24.6,51.6,83.98,228.06,0.0
Tomato,Sandy,35.93,33.7,32.99,139.61,0.0
Rice,Sandy,31.29,29.64,88.92,257.82,0.0
Rice,Peat,36.38,17.53,23.95,80.41,2.35
Barley,Clay,36.75,36.42,68.79,108.63,0.0
Barley,Peat,18.54,46.57,94.11,196.81,0.0
Tomato,Sandy,26.9,43.84,35.42,123.92,0.0
Sugarcane,Silt,39.09,62.62,78.95,34.11,1.82
Barley,Peat,34.7,86.99,81.89,254.32,0.0
Rice,Sandy,11.16,81.97,53.41,200.78,0.0
Barley,Sandy,35.43,68.2,37.93,102.9,0.0
Sugarcane,Sandy,36.68,46.81,53.05,161.06,0.0
Maize,Sandy,10.12,35.15,92.16,117.64,0.0
Cotton,Peat,35.2,62.5,61.13,295.85,0.0
Tomato,Loamy,21.19,54.1,19.54,170.39,0.0
Sugarcane,Silt,16.84,12.95,24.12,46.15,0.34
Maize,Silt,33.06,41.34,57.06,210.63,0.0
Maize,Sandy,44.02,65.48,59.9,141.3,0.0
Barley,Loamy,16.39,53.33,88.29,235.45,0.0
Sugarcane,Silt,30.13,25.37,8.24,266.16,0.0
Barley,Loamy,34.65,37.9,5.58,81.75,0.0
Tomato,Peat,18.32,67.74,55.03,205.52,0.0
Tomato,Sandy,34.46,44.03,65.7,193.24,0.0
Sugarcane,Peat,16.38,65.64,7.06,71.35,0.0
Wheat,Sandy,40.9,34.41,52.34,252.75,0.0
Tomato,Clay,14.9,70.2,98.97,53.01,0.0
Tomato,Loamy,37.24,16.5,16.26,205.94,0.0
Wheat,Sandy,43.1,37.57,73.32,277.51,0.0
Tomato,Clay,16.36,17.1,74.38,229.82,0.0
Barley,Loamy,20.87,27.32,61.22,77.35,0.0
Sugarcane,Silt,40.61,84.5,62.97,299.34,0.0
Sugarcane,Silt,26.49,79.51,69.81,238.92,0.0
Soybean,Sandy,22.69,20.88,66.49,152.23,0.0
Rice,Peat,37.51,18.86,32.47,196.46,0.0
Rice,Loamy,39.34,67.39,19.91,25.91,2.02
Barley,Peat,40.42,71.12,36.4,159.52,0.0
Sugarcane,Silt,12.92,10.79,64.21,170.49,0.0
Maize,Loamy,23.29,86.69,18.56,190.12,0.0
Sugarcane,Peat,27.44,50.48,47.97,107.32,0.0
Soybean,Loamy,21.09,42.63,56.0,196.37,0.0
Wheat,Peat,39.63,54.68,33.94,181.33,0.0
Cotton,Silt,32.6,71.48,10.25,276.14,0.0
Barley,Sandy,28.96,85.08,73.43,181.38,0.0
Rice,Loamy,23.7,74.83,25.37,16.37,0.42
Soybean,Peat,32.23,79.4,5.52,194.95,0.0
Cotton,Sandy,42.05,81.78,54.6,173.49,0.0
Barley,Loamy,29.16,89.26,12.65,91.01,0.0
Barley,Loamy,14.63,45.4,68.19,97.85,0.0
Cotton,Peat,42.83,17.71,88.44,205.13,0.0
Soybean,Silt,42.31,31.85,32.89,28.38,6.43
Maize,Loamy,36.59,45.21,26.08,285.52,0.0
Wheat,Loamy,15.55,85.21,36.02,180.58,0.0
Sugarcane,Peat,32.03,60.59,54.29,75.16,0.0
Cotton,Loamy,22.75,20.96,23.54,253.1,0.0
Sugarcane,Clay,40.83,19.54,92.72,6.49,12.88
Soybean,Sandy,12.62,37.7,14.27,271.48,0.0
Wheat,Peat,41.87,24.64,1.18,197.55,0.0
Rice,Clay,28.89,67.05,1.18,52.97,0.0
Tomato,Silt,21.6,17.33,66.87,35.64,2.51
Tomato,Sandy,26.61,73.24,87.41,201.4,0.0
Tomato,Silt,10.06,83.32,47.23,188.62,0.0
Maize,Clay,15.18,82.91,3.5,75.3,0.0
Sugarcane,Silt,27.13,75.02,48.13,138.21,0.0
Barley,Clay,12.73,20.48,8.14,44.38,0.0
Cotton,Clay,36.9,11.25,62.26,261.66,0.0
Cotton,Peat,15.42,71.76,49.82,9.71,0.41
Tomato,Peat,23.08,64.6,20.14,44.97,0.0
Wheat,Loamy,39.88,29.06,74.76,33.97,6.64
Barley,Clay,38.47,48.98,2.92,113.15,0.0
Cotton,Silt,19.55,40.32,84.83,84.25,0.0
Tomato,Peat,11.09,16.92,97.57,263.04,0.0
Maize,Silt,27.11,46.91,4.36,22.92,2.51
Soybean,Loamy,38.35,81.36,35.58,212.64,0.0
Wheat,Silt,25.33,77.8,58.81,53.93,0.0
Barley,Clay,39.51,41.58,90.92,254.33,0.0
Maize,Loamy,34.09,82.55,20.05,150.58,0.0
Rice,Clay,26.82,49.05,74.63,269.17,0.0
Wheat,Silt,33.92,48.51,88.88,20.64,4.13
Maize,Clay,21.67,40.35,87.82,288.75,0.0
Rice,Silt,27.64,35.31,51.78,180.79,0.0
Soybean,Peat,24.93,82.9,75.18,67.1,0.0
Rice,Silt,26.18,75.15,60.3,108.1,0.0
Cotton,Clay,29.66,49.17,12.24,286.47,0.0
Soybean,Peat,10.35,60.2,8.73,203.99,0.0
Soybean,Sandy,35.98,74.89,87.8,236.25,0.0
Barley,Sandy,34.61,35.1,14.5,219.82,0.0
Soybean,Loamy,16.66,68.54,78.02,142.17,0.0
Soybean,Sandy,27.16,74.76,60.51,227.54,0.0
Barley,Sandy,36.03,33.72,17.26,206.2,0.0
Maize,Silt,26.87,14.68,79.12,274.63,0.0
Maize,Peat,26.89,27.66,38.53,16.88,4.8
Maize,Sandy,23.53,35.91,16.85,237.41,0.0
Barley,Sandy,17.13,36.82,97.63,276.22,0.0
Rice,Silt,38.51,89.22,67.4,208.96,0.0
Cotton,Peat,38.89,37.15,60.66,213.71,0.0
Barley,Silt,44.75,53.74,14.67,24.16,4.04
Barley,Silt,40.41,15.08,15.27,285.28,0.0
Sugarcane,Loamy,10.54,75.58,17.81,30.23,0.0
Barley,Silt,16.64,65.92,5.87,226.17,0.0
Maize,Loamy,32.23,29.46,26.64,129.1,0.0
Cotton,Clay,37.71,73.15,25.41,37.56,0.0
Tomato,Peat,34.18,18.49,1.7,70.63,2.33
Tomato,Peat,33.28,74.14,77.1,38.62,0.0
Barley,Clay,10.98,37.98,45.15,57.55,0.0
Tomato,Silt,10.74,24.04,60.94,118.96,0.0
Sugarcane,Silt,41.26,41.76,40.44,253.45,0.0
Maize,Peat,40.68,87.15,37.08,92.41,0.0
Rice,Loamy,11.14,88.2,49.45,103.35,0.0
Soybean,Clay,24.95,67.88,31.66,229.65,0.0
Tomato,Clay,23.47,58.64,38.84,162.42,0.0
Maize,Clay,11.44,59.86,69.1,49.73,0.0
Barley,Loamy,36.53,87.76,33.46,159.42,0.0
Maize,Peat,39.59,64.46,26.57,30.44,1.65
Rice,Clay,34.67,46.95,38.66,213.93,0.0
Sugarcane,Peat,38.7,42.9,64.92,187.38,0.0
Tomato,Silt,17.04,59.46,60.99,139.8,0.0
Cotton,Peat,40.98,83.68,44.3,280.7,0.0
Tomato,Silt,44.58,63.0,98.5,268.49,0.0
Rice,Loamy,15.2,75.66,57.73,282.87,0.0
Maize,Peat,28.33,16.39,18.87,109.54,0.0
Barley,Silt,28.58,51.07,40.3,152.19,0.0
Sugarcane,Silt,31.33,54.19,91.87,295.56,0.0
Sugarcane,Loamy,13.28,11.45,5.57,192.96,0.0
Rice,Peat,25.54,49.94,31.37,173.76,0.0
Sugarcane,Peat,19.52,50.98,50.06,288.39,0.0
Soybean,Loamy,37.35,15.98,99.51,189.32,0.0
Wheat,Sandy,27.12,50.64,5.2,171.43,0.0
Soybean,Sandy,30.55,12.22,24.54,278.09,0.0
Tomato,Clay,44.48,86.35,85.92,42.2,0.0
Barley,Peat,36.61,47.94,66.47,22.91,3.66
Maize,Clay,44.73,17.24,62.16,176.51,0.0
Maize,Loamy,19.81,36.96,46.99,273.37,0.0
Rice,Clay,29.34,20.5,78.83,88.9,0.0
Maize,Sandy,28.27,67.55,37.19,237.79,0.0
Barley,Sandy,41.06,55.48,59.17,233.35,0.0
Tomato,Clay,44.1,42.36,44.41,281.02,0.0
Tomato,Silt,16.16,78.66,91.4,114.9,0.0
Cotton,Loamy,10.25,74.05,46.92,248.78,0.0
Tomato,Loamy,37.84,45.29,36.13,249.79,0.0
Wheat,Silt,44.75,82.55,75.3,40.21,0.0
Tomato,Peat,21.62,64.94,53.18,200.58,0.0
Rice,Loamy,28.28,72.48,1.98,18.94,0.84
Soybean,Clay,17.41,37.67,97.63,152.87,0.0
Maize,Peat,18.95,89.44,57.79,29.93,0.0
Wheat,Sandy,14.99,25.69,28.04,78.83,0.0
Cotton,Clay,15.45,15.73,1.68,299.16,0.0
Barley,Loamy,24.08,10.49,68.2,291.4,0.0
Wheat,Silt,23.54,38.86,82.85,215.71,0.0
Barley,Clay,41.98,38.85,14.63,151.77,0.0
Maize,Silt,17.98,68.23,31.85,111.04,0.0
Sugarcane,Clay,25.08,54.75,74.76,81.41,0.0
Tomato,Loamy,36.9,62.59,63.24,117.01,0.0
Barley,Peat,29.85,53.1,23.04,223.04,0.0
Wheat,Sandy,13.53,21.52,86.83,195.2,0.0
Rice,Clay,39.84,89.97,77.84,148.38,0.0
Tomato,Peat,18.22,30.21,50.46,121.96,0.0
Maize,Loamy,12.28,34.93,68.97,249.6,0.0
Barley,Loamy,32.68,17.77,57.76,289.67,0.0
Maize,Peat,18.18,28.51,30.52,245.06,0.0
Tomato,Clay,43.41,33.11,51.16,114.47,0.0
Rice,Peat,40.6,30.2,82.3,156.43,0.0
Tomato,Sandy,38.38,22.35,46.89,182.09,0.0
Sugarcane,Loamy,29.69,25.74,81.71,251.68,0.0
Barley,Sandy,29.78,33.88,66.25,156.18,0.0
Wheat,Peat,21.33,78.59,97.9,179.08,0.0
Barley,Sandy,17.69,80.47,42.37,291.55,0.0
Sugarcane,Sandy,36.31,42.52,92.46,90.54,0.0
Maize,Loamy,11.58,46.22,26.19,248.49,0.0
Maize,Peat,23.66,60.97,24.26,241.35,0.0
Wheat,Sandy,36.94,22.65,61.44,57.95,4.1
Barley,Clay,26.9,56.49,6.31,132.99,0.0
Maize,Sandy,40.83,39.48,1.92,215.34,0.0
Rice,Clay,30.83,85.73,76.3,294.52,0.0
Wheat,Silt,21.06,74.41,1.92,210.86,0.0
Barley,Silt,28.39,15.41,5.82,197.89,0.0
Soybean,Clay,38.9,37.04,64.49,286.43,0.0
Cotton,Sandy,42.53,55.53,81.79,59.15,0.33
Maize,Sandy,31.24,36.21,5.69,96.29,0.0
Maize,Silt,12.72,11.48,99.92,196.77,0.0
Soybean,Silt,26.13,57.99,79.89,25.3,1.07
Wheat,Sandy,44.88,33.62,71.15,214.87,0.0
Cotton,Loamy,34.58,15.25,19.53,160.13,0.0
Cotton,Silt,14.94,68.36,61.15,242.75,0.0
Barley,Peat,19.36,55.39,90.43,8.56,1.82
Wheat,Loamy,13.52,39.29,37.94,44.66,0.0
Barley,Clay,33.35,26.96,14.51,45.84,3.18
Soybean,Sandy,32.22,37.2,97.58,96.11,0.0
Rice,Peat,30.99,67.35,85.61,13.36,2.44
Wheat,Clay,28.16,88.7,42.84,84.44,0.0
Barley,Loamy,43.7,28.31,85.46,53.44,4.59
Cotton,Clay,44.26,45.41,36.69,127.17,0.0
Cotton,Sandy,24.95,39.51,82.28,289.99,0.0
Soybean,Silt,13.36,76.73,34.27,20.71,0.0
Tomato,Silt,43.03,85.47,1.66,57.44,0.0
Barley,Sandy,39.04,50.96,27.86,228.61,0.0
Tomato,Silt,25.5,16.1,90.57,113.19,0.0
Maize,Loamy,42.9,15.33,43.78,9.55,11.15
Soybean,Loamy,23.09,51.94,34.56,56.16,0.0
Tomato,Clay,43.72,54.52,58.89,202.33,0.0
Rice,Clay,44.61,44.57,62.97,132.59,0.0
Sugarcane,Loamy,12.09,71.28,67.21,199.26,0.0
Cotton,Silt,15.84,55.68,71.69,159.04,0.0
Maize,Peat,31.44,65.85,11.67,61.44,0.0
Rice,Loamy,42.06,35.22,90.47,108.31,0.0
Sugarcane,Sandy,19.59,82.57,93.42,50.04,0.0
Soybean,Peat,10.93,34.7,16.59,40.75,0.0
Soybean,Clay,38.72,75.33,84.2,275.08,0.0
Tomato,Silt,16.9,17.09,69.86,195.18,0.0
Sugarcane,Silt,25.42,54.28,24.62,149.72,0.0
Tomato,Peat,17.78,27.45,8.96,19.03,2.52
Soybean,Silt,32.9,10.44,45.49,255.33,0.0
Maize,Peat,31.73,56.82,63.18,174.25,0.0
Soybean,Clay,28.21,35.99,39.04,4.91,5.25
Wheat,Silt,39.92,22.25,76.28,275.79,0.0
Barley,Silt,25.64,84.48,18.44,66.22,0.0
Cotton,Clay,25.81,88.6,20.62,227.37,0.0
Sugarcane,Clay,19.36,79.04,28.01,97.04,0.0
Maize,Peat,40.03,67.74,89.11,278.24,0.0
Barley,Peat,38.75,33.34,34.14,290.53,0.0
Tomato,Clay,24.59,67.23,10.71,36.44,0.0
Barley,Clay,35.38,29.48,1.72,178.7,0.0
Barley,Loamy,29.58,61.05,15.45,209.85,0.0
Maize,Sandy,33.33,76.36,16.21,58.79,0.0
Cotton,Silt,35.02,77.83,33.08,101.69,0.0
Soybean,Silt,35.12,22.04,91.42,126.7,0.0
Wheat,Silt,37.94,33.27,93.9,7.19,8.49
Cotton,Peat,39.6,83.74,35.48,275.19,0.0
Sugarcane,Sandy,21.88,54.49,0.18,9.18,3.0
Rice,Silt,17.0,36.45,98.61,202.19,0.0
Rice,Peat,27.34,24.94,2.23,223.79,0.0
Cotton,Sandy,29.32,31.17,94.79,73.71,0.0
Barley,Silt,43.66,37.53,65.11,285.16,0.0
Soybean,Silt,23.94,78.51,63.81,41.49,0.0
Cotton,Sandy,24.24,27.03,98.5,71.25,0.0
Sugarcane,Peat,16.42,82.46,65.22,131.73,0.0
Soybean,Clay,21.58,74.58,92.48,75.78,0.0
Wheat,Peat,18.05,70.81,71.39,275.53,0.0
Wheat,Loamy,43.57,38.93,31.62,226.04,0.0
Tomato,Sandy,33.63,63.39,75.21,116.48,0.0
Tomato,Loamy,42.64,65.22,79.49,242.68,0.0
Maize,Loamy,40.39,66.72,7.1,295.44,0.0
Maize,Peat,12.69,75.95,36.07,59.2,0.0
Sugarcane,Silt,17.87,11.77,83.94,66.81,0.0
Soybean,Peat,38.81,36.01,56.71,252.97,0.0
Barley,Sandy,35.54,33.39,93.39,208.06,0.0
Soybean,Clay,36.56,77.22,48.96,2.4,2.41
Cotton,Loamy,13.44,68.89,82.57,127.37,0.0
Cotton,Loamy,44.59,45.48,55.72,206.94,0.0
Cotton,Sandy,28.11,46.99,45.56,22.27,2.33
Wheat,Peat,42.78,16.89,19.77,115.86,0.29
Maize,Clay,43.86,43.61,26.02,184.44,0.0
Wheat,Silt,23.74,87.23,58.19,59.99,0.0
Maize,Clay,24.07,42.85,97.5,202.92,0.0
Rice,Loamy,30.68,46.77,72.68,212.07,0.0
Soybean,Sandy,23.1,53.19,96.08,126.14,0.0
Soybean,Clay,38.32,66.56,48.82,238.34,0.0
Cotton,Sandy,12.99,67.93,58.45,157.6,0.0
Sugarcane,Clay,35.71,74.68,84.09,156.58,0.0
Maize,Sandy,37.95,79.76,17.94,69.38,0.0
Wheat,Clay,11.0,62.88,17.5,172.74,0.0
Maize,Silt,30.58,36.48,72.21,123.82,0.0
Cotton,Loamy,13.11,49.41,78.21,152.14,0.0
Wheat,Loamy,37.3,48.77,3.6,164.51,0.0
Soybean,Silt,20.15,58.03,40.91,81.23,0.0
Maize,Silt,25.1,22.38,38.2,289.83,0.0
Barley,Silt,25.82,76.11,68.16,197.26,0.0
Rice,Clay,11.25,85.93,62.04,23.72,0.0
Rice,Sandy,18.55,64.11,67.87,1.9,2.44
Tomato,Peat,44.3,29.85,96.08,192.8,0.0
Wheat,Peat,22.22,45.05,57.1,23.75,1.86
Tomato,Sandy,16.13,22.89,92.27,68.18,0.0
Wheat,Sandy,10.48,72.92,60.58,170.47,0.0
Tomato,Clay,23.59,23.25,85.47,197.55,0.0
Soybean,Clay,34.23,78.0,14.09,159.76,0.0
Barley,Silt,17.21,37.74,62.25,254.12,0.0
Maize,Silt,41.8,32.74,70.82,160.6,0.0
Soybean,Silt,26.86,63.66,68.49,45.34,0.0
Cotton,Silt,23.76,34.07,55.87,277.95,0.0
Barley,Loamy,13.97,41.82,51.13,228.27,0.0
Soybean,Peat,31.24,45.36,27.1,171.0,0.0
Tomato,Silt,25.28,86.09,40.12,92.92,0.0
Soybean,Clay,11.97,37.4,33.28,28.6,0.0
Barley,Loamy,44.94,56.84,62.14,204.62,0.0
Sugarcane,Loamy,32.75,21.98,48.75,55.78,3.67
Sugarcane,Loamy,24.44,63.64,12.48,149.29,0.0
Tomato,Silt,14.95,71.18,5.05,231.47,0.0
Wheat,Clay,14.07,37.11,35.05,260.81,0.0
Tomato,Loamy,42.27,67.29,67.96,285.88,0.0
Rice,Clay,27.38,53.0,55.39,163.94,0.0
Barley,Clay,36.98,64.15,92.47,22.91,1.92
Sugarcane,Loamy,11.58,78.26,27.19,1.09,0.91
Soybean,Loamy,13.91,53.66,33.67,103.97,0.0
Cotton,Loamy,28.89,23.91,36.97,254.52,0.0
Tomato,Clay,19.23,19.65,15.16,203.6,0.0
Sugarcane,Loamy,19.24,19.08,83.8,294.89,0.0
Maize,Silt,17.36,46.33,41.32,214.89,0.0
Sugarcane,Loamy,28.68,62.31,6.21,191.69,0.0
Cotton,Clay,16.84,13.2,15.8,91.12,0.0
Rice,Sandy,40.07,70.81,68.44,135.46,0.0
Cotton,Loamy,14.75,76.97,33.38,234.41,0.0
Wheat,Clay,10.23,56.73,44.82,253.12,0.0
Wheat,Peat,13.14,58.9,13.31,134.44,0.0
Soybean,Loamy,13.95,69.1,49.57,174.95,0.0
Wheat,Silt,19.12,32.39,48.12,269.01,0.0
Wheat,Clay,43.86,38.19,22.71,106.14,0.0
Wheat,Clay,38.97,56.93,29.78,25.93,3.3
Barley,Clay,37.13,68.66,17.4,282.38,0.0
Tomato,Loamy,26.73,38.19,54.86,143.14,0.0
Wheat,Sandy,41.26,76.07,85.15,218.55,0.0
Soybean,Sandy,39.48,64.4,47.8,129.14,0.0
Rice,Clay,18.54,67.94,65.35,1.31,2.22
Soybean,Silt,24.64,83.3,83.8,44.64,0.0
Wheat,Sandy,13.64,32.83,78.52,77.01,0.0
Tomato,Sandy,14.16,59.98,94.87,128.13,0.0
Sugarcane,Sandy,40.47,81.53,15.27,86.62,0.0
Cotton,Clay,12.92,38.97,91.07,12.91,1.14
Wheat,Sandy,18.51,13.76,87.8,259.39,0.0
Tomato,Loamy,14.31,74.77,23.65,16.71,0.0
Cotton,Peat,13.09,89.17,69.38,72.2,0.0
Maize,Clay,39.49,66.64,98.21,122.17,0.0
Barley,Peat,15.64,86.51,22.05,179.19,0.0
Tomato,Silt,16.71,19.96,0.01,250.51,0.0
Rice,Sandy,17.9,89.52,95.7,123.21,0.0
Cotton,Clay,28.27,27.39,9.79,162.57,0.0
Tomato,Loamy,32.32,75.47,83.68,173.49,0.0
Sugarcane,Silt,39.78,68.02,17.2,211.84,0.0
Barley,Clay,34.25,21.26,34.02,85.0,0.44
Rice,Loamy,39.27,22.92,99.7,202.57,0.0
Sugarcane,Silt,20.0,60.52,27.66,266.79,0.0
Barley,Loamy,11.56,73.1,68.23,96.94,0.0
Soybean,Loamy,13.67,33.59,17.04,136.92,0.0
Maize,Silt,25.77,74.55,96.87,10.76,1.11
Barley,Sandy,19.1,72.32,71.68,30.12,0.0
Cotton,Silt,40.47,81.77,61.98,289.32,0.0
Barley,Clay,34.08,15.79,75.82,29.83,5.92
Barley,Silt,30.09,52.04,62.66,277.17,0.0
Wheat,Peat,32.52,35.47,25.86,143.83,0.0
Wheat,Sandy,39.08,58.63,89.83,94.0,0.0
Tomato,Loamy,13.37,67.02,50.22,288.9,0.0
Maize,Clay,21.49,18.72,57.88,227.09,0.0
Cotton,Peat,11.8,46.81,72.53,27.58,0.0
Tomato,Sandy,20.54,68.68,28.08,241.83,0.0
Rice,Loamy,28.41,23.51,14.75,256.36,0.0
Wheat,Sandy,25.45,36.78,28.82,81.81,0.0
Wheat,Sandy,40.48,71.63,79.76,199.2,0.0
Rice,Silt,26.11,65.73,63.64,8.82,2.52
Wheat,Sandy,20.01,37.56,29.21,42.99,0.0
Rice,Clay,17.29,32.11,61.68,1.81,4.48
Soybean,Sandy,10.25,20.65,1.23,124.16,0.0
Tomato,Clay,40.04,40.73,63.23,175.13,0.0
Tomato,Sandy,20.77,52.72,96.96,39.15,0.0
Sugarcane,Peat,35.95,17.63,4.81,144.28,0.0
Barley,Sandy,17.84,75.01,43.96,163.15,0.0
Tomato,Sandy,34.37,59.97,19.0,38.51,0.77
Rice,Loamy,10.26,54.36,1.76,249.72,0.0
Rice,Silt,37.87,42.74,6.76,111.04,0.0
Rice,Clay,28.48,23.16,1.13,116.12,0.0
Tomato,Sandy,17.42,14.21,44.41,235.06,0.0
Maize,Peat,28.63,31.94,6.56,13.18,5.18
Rice,Loamy,11.64,38.43,36.56,50.9,0.0
Rice,Loamy,21.12,43.46,33.0,249.8,0.0
Wheat,Peat,24.52,26.89,89.01,63.0,0.0
Wheat,Silt,22.22,31.15,40.12,53.24,0.0
Maize,Sandy,28.64,78.11,30.32,114.37,0.0
Tomato,Peat,37.65,54.3,22.01,282.14,0.0
Rice,Sandy,29.99,28.32,35.73,69.87,0.21
Barley,Silt,11.45,69.15,90.81,121.91,0.0
Cotton,Sandy,18.49,44.5,70.26,267.55,0.0
Tomato,Loamy,39.43,86.31,59.98,286.83,0.0
Rice,Silt,29.49,42.05,52.01,86.95,0.0
Tomato,Silt,38.28,59.46,30.54,106.59,0.0
Soybean,Silt,20.52,64.65,74.12,125.51,0.0
Barley,Sandy,32.2,19.0,49.82,43.41,3.92
Rice,Sandy,20.85,53.53,29.59,267.93,0.0
Wheat,Silt,31.86,72.26,28.31,81.91,0.0
Rice,Sandy,24.43,73.13,55.35,45.51,0.0
Maize,Clay,15.64,67.67,75.33,269.91,0.0
Sugarcane,Clay,21.52,67.86,29.43,207.8,0.0
Cotton,Silt,16.61,21.4,19.19,155.31,0.0
Rice,Silt,13.82,44.79,86.98,52.34,0.0
Soybean,Silt,28.84,62.21,56.58,122.84,0.0
Tomato,Sandy,24.56,81.88,86.86,87.11,0.0
Maize,Sandy,27.61,73.49,34.35,48.72,0.0
Cotton,Silt,43.77,60.37,6.48,157.67,0.0
Maize,Peat,18.78,84.81,71.87,255.31,0.0
Wheat,Silt,19.34,59.96,28.15,209.42,0.0
Rice,Silt,25.56,50.53,59.62,247.8,0.0
Barley,Sandy,33.32,31.78,1.38,214.52,0.0
Rice,Loamy,44.2,65.25,82.24,251.85,0.0
Barley,Sandy,33.47,41.74,71.28,116.74,0.0
Sugarcane,Silt,33.52,11.61,22.87,120.99,0.0
Cotton,Clay,26.81,87.16,67.27,233.48,0.0
Maize,Clay,14.12,66.04,65.7,91.76,0.0
Cotton,Clay,15.45,35.61,33.75,50.03,0.0
Cotton,Sandy,38.37,22.33,92.11,250.22,0.0
Cotton,Silt,29.55,40.69,14.9,265.73,0.0
Wheat,Silt,10.28,13.47,12.6,132.22,0.0
Sugarcane,Silt,41.22,30.33,47.29,9.72,10.75
Barley,Loamy,13.44,41.97,52.39,190.17,0.0
Wheat,Loamy,23.19,36.7,77.43,200.86,0.0
Barley,Sandy,34.85,45.04,1.57,67.76,0.0
Tomato,Clay,42.44,53.3,49.95,65.63,0.05
Soybean,Clay,36.04,16.07,60.03,282.12,0.0
Wheat,Loamy,16.75,30.31,75.29,54.11,0.0
Maize,Loamy,39.9,76.84,49.36,142.71,0.0
Tomato,Clay,26.48,70.49,86.38,7.15,1.98
Tomato,Loamy,43.88,81.78,71.04,65.23,0.0
Tomato,Peat,24.56,54.48,78.17,60.25,0.0
Tomato,Peat,28.91,49.51,37.31,242.42,0.0
Maize,Clay,14.73,53.13,33.2,1.22,2.18
Rice,Sandy,17.95,61.55,27.49,34.07,0.0
Wheat,Loamy,23.41,72.59,84.49,68.98,0.0
Soybean,Loamy,14.65,59.13,78.88,108.26,0.0
Cotton,Sandy,23.3,57.57,81.57,107.65,0.0
Cotton,Loamy,27.93,15.52,15.62,49.69,2.46
Maize,Peat,30.88,78.36,21.35,140.26,0.0
Wheat,Silt,20.56,87.05,97.33,220.78,0.0
Barley,Peat,31.98,15.62,74.85,184.09,0.0
Soybean,Silt,24.39,22.94,42.32,152.4,0.0
Barley,Sandy,35.58,60.09,49.02,137.06,0.0
Rice,Clay,33.11,24.54,67.76,162.05,0.0
Sugarcane,Loamy,42.9,16.32,85.21,241.86,0.0
